name,lon,lat,area,address
西南大学附属中学(本部),106.42772,29.83701,北碚区,重庆市北碚区杜家街43号
重庆市兼善中学,106.44145,29.8188,北碚区,重庆市北碚区毛背沱137号
重庆市江北中学校(本部校区),106.49576,29.78988,北碚区,重庆市北碚区新华路171号
重庆市朝阳中学(北校区),106.44028,29.82423,北碚区,重庆市北碚区嘉陵村1号
重庆市王朴中学校,106.55925,29.88946,北碚区,重庆市北碚区桥亭街6号
重庆四十八中学校,106.37184,29.77098,北碚区,重庆市北碚区双凤桥27号（六九〇五工厂医院斜对面）
重庆市第一中学校-西门,106.45849,29.5628,沙坪坝区,重庆市沙坪坝区沙坪坝南街2号
南开中学-东门,106.45796,29.56374,沙坪坝区,重庆市沙坪坝区沙坪坝南街1号
重庆八中(沙坪坝站东路),106.46128,29.55674,沙坪坝区,重庆市沙坪坝区小龙坎正街96号附3号4-1
重庆市凤鸣山中学,106.44474,29.53126,沙坪坝区,重庆市沙坪坝区凤天大道150号
重庆市第七中学校,106.45988,29.57387,沙坪坝区,重庆市沙坪坝区沙坪坝北街94号
重庆市青木关中学校,106.29639,29.67562,沙坪坝区,重庆市沙坪坝区青木关镇新青路315号
重庆市天星桥中学,106.44798,29.54644,沙坪坝区,重庆市沙坪坝区天星桥正街82号
重庆市三十二中(高中部),106.43744,29.6104,沙坪坝区,重庆市沙坪坝区212国道工农坡22号
重庆市第一实验中学校,106.28992,29.58479,沙坪坝区,重庆市沙坪坝区大学城南二路750号
重庆巴蜀科学城中学,106.28193,29.59901,沙坪坝区,重庆市沙坪坝区虎溪街道学智路789号
重庆市树人中学校,106.4442,29.56729,沙坪坝区,重庆市沙坪坝区小杨公桥118号
重庆37中A区,106.47977,29.47523,大渡口区,重庆市大渡口区钢花路874号
重庆市田家炳中学(B区),106.42937,29.46775,九龙坡区,重庆市九龙坡区田坝新村65号
重庆育才中学(谢家湾校区),106.51081,29.52213,九龙坡区,重庆市九龙坡区谢家湾正街92号
重庆外国语学校,106.47723,29.53597,九龙坡区,重庆市九龙坡区红育坡1号
重庆市铁路中学校,106.52888,29.49137,九龙坡区,重庆市九龙坡区邮电路重庆电力高等专科学校北侧约70米
杨家坪中学(彩云湖校区),106.47547,29.51709,九龙坡区,重庆市九龙坡区科城路139号
重庆市渝西中学,106.31039,29.30173,九龙坡区,重庆市九龙坡区永安路6号
重庆市渝高中学校,106.48324,29.53142,九龙坡区,重庆市九龙坡区科园三街27号渝高公园旁
巴蜀中学,106.55844,29.56509,渝中区,重庆市渝中区北区路51号(近黄花园大桥)
重庆市求精中学校教育集团,106.54349,29.56594,渝中区,重庆市渝中区中山四路重庆市渝中区德精小学校
复旦中学,106.57307,29.554,渝中区,重庆市渝中区凯旋路22号
重庆二十九中学(解放碑校区),106.56921,29.56112,渝中区,重庆市渝中区邹容路143号
巴蜀中学(张家花园校区),106.55388,29.56066,渝中区,重庆市渝中区大溪沟人和街华福巷52号
重庆第三十中学校(长江一路),106.54124,29.55362,渝中区,重庆市渝中区长江一路13号
重庆市第八中学校(渝北校区),106.59545,29.73056,渝北区,重庆市渝北区中央公园北路8号
重庆市渝北中学校-东北门,106.6282,29.75917,渝北区,重庆市渝北区桃源大道888号
重庆市松树桥中学校龙溪校区(A校区),106.50777,29.59046,渝北区,重庆市渝北区松桥路169号
重庆市暨华中学校,106.61963,29.71574,渝北区,重庆市渝北区双龙湖街道龙吉街98号
重庆市南华中学-综合楼,106.62043,29.72425,渝北区,重庆市渝北区双凤桥街道汉渝路44号
重庆南开两江中学,106.79839,29.69112,渝北区,重庆市渝北区龙驿大道209号
重庆市华蓥中学校,106.73662,29.98406,渝北区,重庆市渝北区竹松路31号
